_id,Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Other installment plans,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
134,Yes,no checking account,10,existing credits paid back duly till now,car (new),1364,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,64,none,own,1,skilled employee / official,1,Yes,Yes
135,Yes,no checking account,6,existing credits paid back duly till now,furniture/equipment,1543,>= 1000 DM,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,33,none,own,1,skilled employee / official,1,No,Yes
136,Yes,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1318,>= 1000 DM,>= 7 years,4,male : single,none,4,real estate,54,none,own,1,skilled employee / official,1,Yes,Yes
137,Yes,... < 0 DM,24,all credits at this bank paid back duly,car (new),2325,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,none,3,car or other,32,bank,own,1,skilled employee / official,1,No,Yes
138,Yes,0 <= ... < 200 DM,6,critical account/ other credits existing (not at this bank),retraining,932,unknown/ no savings account,4 <= ... < 7 years,1,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,39,none,own,2,unskilled - resident,1,No,Yes
139,Yes,... >= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),radio/television,3148,unknown/ no savings account,1 <= ... < 4 years,3,male : single,none,2,car or other,31,none,own,2,skilled employee / official,1,Yes,Yes
140,Yes,no checking account,36,existing credits paid back duly till now,radio/television,3835,unknown/ no savings account,>= 7 years,2,female : divorced/separated/married,none,4,real estate,45,none,own,1,unskilled - resident,1,Yes,Yes
141,Yes,no checking account,9,existing credits paid back duly till now,education,3832,unknown/ no savings account,>= 7 years,1,male : single,none,4,real estate,64,none,own,1,unskilled - resident,1,No,Yes
142,Yes,0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,5084,unknown/ no savings account,>= 7 years,2,female : divorced/separated/married,none,4,car or other,42,none,own,1,skilled employee / official,1,Yes,Yes
143,Yes,no checking account,9,critical account/ other credits existing (not at this bank),furniture/equipment,2406,< 100 DM,unemployed,2,male : single,none,3,car or other,31,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,No,Yes
144,Yes,no checking account,36,existing credits paid back duly till now,radio/television,2394,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,25,none,own,1,skilled employee / official,1,No,Yes
145,Yes,no checking account,21,existing credits paid back duly till now,car (used),2476,unknown/ no savings account,>= 7 years,4,male : single,none,4,real estate,46,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
146,Yes,... < 0 DM,24,existing credits paid back duly till now,car (used),2964,unknown/ no savings account,>= 7 years,4,male : single,none,4,unknown / no property,49,bank,for free,1,skilled employee / official,2,Yes,Yes
147,Yes,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1262,unknown/ no savings account,>= 7 years,2,male : divorced/separated,none,4,building society savings agreement/ life insurance,49,none,own,1,unskilled - resident,1,Yes,Yes
148,Yes,no checking account,12,existing credits paid back duly till now,business,1542,< 100 DM,4 <= ... < 7 years,2,male : single,none,4,car or other,36,none,own,1,skilled employee / official,1,Yes,Yes
149,Yes,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),radio/television,1743,< 100 DM,>= 7 years,4,male : single,none,2,building society savings agreement/ life insurance,48,none,own,2,unskilled - resident,1,No,Yes
150,Yes,... >= 200 DM / salary assignments for at least 1 year,12,all credits at this bank paid back duly,radio/television,409,>= 1000 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee / official,1,No,Yes
151,Yes,no checking account,12,existing credits paid back duly till now,radio/television,2171,< 100 DM,< 1 year,2,female : divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee / official,1,No,Yes
152,Yes,no checking account,48,critical account/ other credits existing (not at this bank),car (used),8858,unknown/ no savings account,4 <= ... < 7 years,2,male : single,none,1,unknown / no property,35,none,for free,2,skilled employee / official,1,Yes,Yes
153,Yes,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),3512,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,none,3,car or other,38,bank,own,2,skilled employee / official,1,Yes,Yes
154,Yes,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1158,500 <= ... < 1000 DM,1 <= ... < 4 years,3,male : divorced/separated,none,1,car or other,26,none,own,1,skilled employee / official,1,Yes,Yes
155,Yes,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2684,< 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,35,none,own,2,unskilled - resident,1,No,Yes
156,Yes,... < 0 DM,12,existing credits paid back duly till now,radio/television,1498,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,car or other,23,bank,own,1,skilled employee / official,1,No,Yes
157,Yes,no checking account,30,critical account/ other credits existing (not at this bank),radio/television,5954,< 100 DM,4 <= ... < 7 years,3,male : single,co-applicant,2,car or other,38,none,own,1,skilled employee / official,1,No,Yes
158,No,0 <= ... < 200 DM,48,all credits at this bank paid back duly,business,6416,< 100 DM,>= 7 years,4,female : divorced/separated/married,none,3,unknown / no property,59,none,rent,1,skilled employee / official,1,No,Yes
159,Yes,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),furniture/equipment,3617,< 100 DM,>= 7 years,1,male : single,none,4,car or other,28,none,rent,3,skilled employee / official,1,Yes,Yes
160,Yes,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1291,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,No,Yes
161,Yes,... >= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),business,1275,>= 1000 DM,1 <= ... < 4 years,2,male : divorced/separated,none,4,real estate,36,none,own,2,skilled employee / official,1,Yes,Yes
162,Yes,no checking account,24,existing credits paid back duly till now,furniture/equipment,3972,< 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,25,none,rent,1,skilled employee / official,1,Yes,Yes
163,Yes,no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,3343,< 100 DM,1 <= ... < 4 years,4,male : single,none,2,unknown / no property,28,none,for free,1,skilled employee / official,1,Yes,Yes
164,Yes,... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,education,392,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,23,none,rent,1,skilled employee / official,1,Yes,Yes
165,Yes,no checking account,9,critical account/ other credits existing (not at this bank),car (new),2134,< 100 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,48,none,own,3,skilled employee / official,1,Yes,Yes
166,Yes,no checking account,30,critical account/ other credits existing (not at this bank),radio/television,5771,< 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,car or other,25,none,own,2,skilled employee / official,1,No,Yes
167,Yes,no checking account,24,critical account/ other credits existing (not at this bank),business,4526,< 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,74,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
168,Yes,no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,2788,< 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,co-applicant,3,car or other,24,bank,own,2,skilled employee / official,1,No,Yes
169,Yes,no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1382,< 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,car or other,28,none,own,2,skilled employee / official,1,Yes,Yes
170,Yes,... >= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,5848,< 100 DM,1 <= ... < 4 years,4,male : single,none,1,car or other,24,none,own,1,skilled employee / official,1,No,Yes
171,No,... < 0 DM,12,existing credits paid back duly till now,car (new),1228,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,24,none,own,1,unskilled - resident,1,No,Yes
172,Yes,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,1297,< 100 DM,1 <= ... < 4 years,3,male : married/widowed,none,4,real estate,23,none,rent,1,skilled employee / official,1,No,Yes
173,Yes,no checking account,24,existing credits paid back duly till now,radio/television,1552,< 100 DM,4 <= ... < 7 years,3,male : single,none,1,car or other,32,bank,own,1,skilled employee / official,2,No,Yes
174,Yes,no checking account,12,existing credits paid back duly till now,radio/television,1963,< 100 DM,4 <= ... < 7 years,4,male : single,none,2,car or other,31,none,rent,2,management/ self-employed/ highly qualified employee/ officer,2,Yes,Yes
175,Yes,no checking account,24,existing credits paid back duly till now,radio/television,3235,500 <= ... < 1000 DM,>= 7 years,3,male : divorced/separated,none,2,car or other,36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
176,Yes,no checking account,24,critical account/ other credits existing (not at this bank),business,4139,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,none,3,building society savings agreement/ life insurance,27,none,own,2,unskilled - resident,1,Yes,Yes
177,Yes,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1804,100 <= ... < 500 DM,< 1 year,3,male : single,none,4,building society savings agreement/ life insurance,44,none,own,1,skilled employee / official,1,No,Yes
178,Yes,no checking account,18,existing credits paid back duly till now,business,1950,< 100 DM,4 <= ... < 7 years,4,male : single,none,1,car or other,34,stores,own,2,skilled employee / official,1,Yes,Yes
179,Yes,no checking account,48,delay in paying off in the past,radio/television,12749,500 <= ... < 1000 DM,4 <= ... < 7 years,4,male : single,none,1,car or other,37,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
180,Yes,no checking account,9,existing credits paid back duly till now,domestic appliances,1236,< 100 DM,< 1 year,1,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee / official,1,Yes,Yes
181,Yes,no checking account,18,critical account/ other credits existing (not at this bank),car (new),1055,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,No,Yes
182,Yes,... < 0 DM,30,no credits taken/ all credits paid back duly,business,8072,unknown/ no savings account,< 1 year,2,male : single,none,3,car or other,25,bank,own,3,skilled employee / official,1,No,Yes
183,Yes,no checking account,30,critical account/ other credits existing (not at this bank),radio/television,2831,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,33,none,own,1,skilled employee / official,1,Yes,Yes
184,Yes,no checking account,9,existing credits paid back duly till now,business,1449,< 100 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,2,car or other,27,none,own,2,skilled employee / official,1,No,Yes
185,Yes,no checking account,36,existing credits paid back duly till now,business,5742,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,none,2,car or other,31,none,own,2,skilled employee / official,1,Yes,Yes
186,Yes,no checking account,12,existing credits paid back duly till now,car (new),2390,unknown/ no savings account,>= 7 years,4,male : single,none,3,car or other,50,none,own,1,skilled employee / official,1,Yes,Yes
187,Yes,no checking account,24,existing credits paid back duly till now,radio/television,3430,500 <= ... < 1000 DM,>= 7 years,3,male : single,none,2,car or other,31,none,own,1,skilled employee / official,2,Yes,Yes
188,Yes,0 <= ... < 200 DM,36,existing credits paid back duly till now,education,2273,< 100 DM,4 <= ... < 7 years,3,male : single,none,1,car or other,32,none,own,2,skilled employee / official,2,No,Yes
189,Yes,... >= 200 DM / salary assignments for at least 1 year,21,existing credits paid back duly till now,car (new),2923,100 <= ... < 500 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,car or other,28,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
190,Yes,no checking account,24,existing credits paid back duly till now,radio/television,1901,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,29,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
